family,form,example,a,b,total,prompt,graph_id,graph_path,status,active_features,selected_features,adjacency_shape
addition,explicit,0,1,2,3,calc: 1+2=,addition_explicit_0,local_graph_archive/graph_addition_explicit_0.pt,ok,5938,384,"[601, 601]"
addition,applied,0,1,2,3,A shelf has 1 books and receives 2 more. How many books now?,addition_applied_0,local_graph_archive/graph_addition_applied_0.pt,ok,16865,384,"[871, 871]"
addition,implicit,0,1,2,3,Record: start=1; added=2; total=?,addition_implicit_0,local_graph_archive/graph_addition_implicit_0.pt,ok,11737,384,"[736, 736]"
addition,explicit,1,2,3,5,calc: 2+3=,addition_explicit_1,local_graph_archive/graph_addition_explicit_1.pt,ok,5795,384,"[601, 601]"
addition,applied,1,2,3,5,A shelf has 2 books and receives 3 more. How many books now?,addition_applied_1,local_graph_archive/graph_addition_applied_1.pt,ok,16862,384,"[871, 871]"
addition,implicit,1,2,3,5,Record: start=2; added=3; total=?,addition_implicit_1,local_graph_archive/graph_addition_implicit_1.pt,ok,11616,384,"[736, 736]"
addition,explicit,2,3,1,4,calc: 3+1=,addition_explicit_2,local_graph_archive/graph_addition_explicit_2.pt,ok,5871,384,"[601, 601]"
addition,applied,2,3,1,4,A shelf has 3 books and receives 1 more. How many books now?,addition_applied_2,local_graph_archive/graph_addition_applied_2.pt,ok,17011,384,"[871, 871]"
addition,implicit,2,3,1,4,Record: start=3; added=1; total=?,addition_implicit_2,local_graph_archive/graph_addition_implicit_2.pt,ok,11520,384,"[736, 736]"
addition,explicit,3,4,2,6,calc: 4+2=,addition_explicit_3,local_graph_archive/graph_addition_explicit_3.pt,ok,5847,384,"[601, 601]"
addition,applied,3,4,2,6,A shelf has 4 books and receives 2 more. How many books now?,addition_applied_3,local_graph_archive/graph_addition_applied_3.pt,ok,16975,384,"[871, 871]"
addition,implicit,3,4,2,6,Record: start=4; added=2; total=?,addition_implicit_3,local_graph_archive/graph_addition_implicit_3.pt,ok,11487,384,"[736, 736]"
addition,explicit,4,2,2,4,calc: 2+2=,addition_explicit_4,local_graph_archive/graph_addition_explicit_4.pt,ok,6023,384,"[601, 601]"
addition,applied,4,2,2,4,A shelf has 2 books and receives 2 more. How many books now?,addition_applied_4,local_graph_archive/graph_addition_applied_4.pt,ok,16804,384,"[871, 871]"
addition,implicit,4,2,2,4,Record: start=2; added=2; total=?,addition_implicit_4,local_graph_archive/graph_addition_implicit_4.pt,ok,11641,384,"[736, 736]"
addition,explicit,5,1,4,5,calc: 1+4=,addition_explicit_5,local_graph_archive/graph_addition_explicit_5.pt,ok,5830,384,"[601, 601]"
addition,applied,5,1,4,5,A shelf has 1 books and receives 4 more. How many books now?,addition_applied_5,local_graph_archive/graph_addition_applied_5.pt,ok,16981,384,"[871, 871]"
addition,implicit,5,1,4,5,Record: start=1; added=4; total=?,addition_implicit_5,local_graph_archive/graph_addition_implicit_5.pt,ok,11710,384,"[736, 736]"
addition,explicit,6,3,3,6,calc: 3+3=,addition_explicit_6,local_graph_archive/graph_addition_explicit_6.pt,ok,5950,384,"[601, 601]"
addition,applied,6,3,3,6,A shelf has 3 books and receives 3 more. How many books now?,addition_applied_6,local_graph_archive/graph_addition_applied_6.pt,ok,17028,384,"[871, 871]"
addition,implicit,6,3,3,6,Record: start=3; added=3; total=?,addition_implicit_6,local_graph_archive/graph_addition_implicit_6.pt,ok,11585,384,"[736, 736]"
addition,explicit,7,4,1,5,calc: 4+1=,addition_explicit_7,local_graph_archive/graph_addition_explicit_7.pt,ok,5891,384,"[601, 601]"
addition,applied,7,4,1,5,A shelf has 4 books and receives 1 more. How many books now?,addition_applied_7,local_graph_archive/graph_addition_applied_7.pt,ok,17057,384,"[871, 871]"
addition,implicit,7,4,1,5,Record: start=4; added=1; total=?,addition_implicit_7,local_graph_archive/graph_addition_implicit_7.pt,ok,11569,384,"[736, 736]"
subtraction,explicit,0,3,1,2,calc: 3-1=,subtraction_explicit_0,local_graph_archive/graph_subtraction_explicit_0.pt,ok,5809,384,"[601, 601]"
subtraction,applied,1,4,2,2,A shelf has 4 books and 2 are removed. How many remain?,subtraction_applied_1,local_graph_archive/graph_subtraction_applied_1.pt,ok,15992,384,"[844, 844]"
multiplication,explicit,2,2,3,6,calc: 2*3=,multiplication_explicit_2,local_graph_archive/graph_multiplication_explicit_2.pt,ok,5993,384,"[601, 601]"
multiplication,applied,3,2,2,4,There are 2 rows with 2 seats each. Total seats?,multiplication_applied_3,local_graph_archive/graph_multiplication_applied_3.pt,ok,13458,384,"[790, 790]"
